1	381	276	144	5512
2	487	227	488	8735
3	284	103	369	3666
4	484	107	274	825
5	310	90	157	9421
6	314	179	316	3632
7	143	294	408	6993
8	193	282	538	3812
9	492	228	191	9848
10	206	200	480	7133
11	198	127	538	8996
12	160	270	139	9408
13	243	321	402	2117
14	240	213	229	5119
15	263	68	401	7752
16	436	400	401	7403
17	231	350	129	9030
18	212	334	116	7063
19	53	283	469	1525
20	82	396	103	4428
21	298	200	342	8386
22	211	87	306	9303
23	117	264	546	8407
24	323	312	500	4330
25	460	101	450	6288
26	191	385	220	2415
27	299	200	427	7533
28	292	142	516	7091
29	154	307	420	4446
30	159	174	103	9849
31	365	59	177	7050
32	258	329	423	4531
33	494	181	519	6247
34	182	130	110	619
35	481	94	360	785
36	222	155	219	2652
37	348	283	173	2159
38	288	251	589	5308
39	270	354	243	6400
40	359	61	423	4760
41	268	123	465	1121
42	102	295	166	2550
43	273	239	535	1312
44	414	78	260	5882
45	102	305	330	4805
46	281	397	411	6930
47	453	141	544	8326
48	279	318	449	3346
49	277	376	387	1256
50	496	253	367	8373
51	213	263	506	4352
52	234	177	535	4578
53	256	220	415	5056
54	271	376	272	6646
55	367	385	418	7050
56	129	240	114	5758
57	313	199	466	5516
58	203	71	129	2725
59	477	242	281	942
60	91	333	586	9579
61	386	188	132	631
62	207	140	493	5337
63	250	144	301	7227
64	413	317	430	7731
65	470	149	360	615
66	383	127	220	2647
67	158	97	238	4328
68	335	343	210	8810
69	427	159	207	2502
70	217	100	562	5072
71	55	185	157	5789
72	355	128	177	8679
73	228	332	315	2894
74	97	182	288	5186
75	489	163	117	2547
76	287	150	370	8924
77	197	146	323	547
78	425	245	586	4247
79	154	198	391	7792
80	56	86	326	5683
81	341	236	109	5822
82	347	335	335	1617
83	171	225	108	2190
84	229	308	198	9370
85	242	265	373	8244
86	354	131	546	5451
87	184	337	416	8541
88	497	184	534	9927
89	320	209	140	7636
90	481	129	600	3303
91	425	325	472	5029
92	201	375	564	6339
93	402	289	489	853
94	227	177	172	7524
95	398	149	205	8720
96	176	308	103	1734
97	330	334	315	6405
98	167	167	574	2849
99	351	218	450	4067
100	210	262	423	9839
